zip_code,year,quarter,ev_registrations
11385,2023,1,2
11385,2024,2,4
11385,2024,3,3
11385,2024,4,3
11385,2025,2,1
11385,2025,3,4
11411,2025,1,2
11411,2025,3,3
11412,2023,3,1
11412,2023,4,1
11412,2024,2,1
11412,2024,3,2
11412,2025,3,1
11413,2025,2,3
11413,2025,3,1
11414,2022,3,2
11414,2025,1,1
11414,2025,2,4
11414,2025,3,2
11414,2025,4,1
11415,2025,3,2
11416,2023,1,1
11416,2024,1,1
11416,2024,2,2
11416,2024,3,2
11416,2024,4,1
11416,2025,3,2
11416,2025,4,1
11417,2023,2,1
11417,2023,3,1
11418,2023,4,4
11418,2025,4,2
11419,2022,2,1
11419,2022,3,1
11420,2022,3,2
11420,2022,4,4
11420,2023,4,2
11420,2025,3,3
11420,2025,4,3
11421,2023,3,1
11422,2024,4,1
11422,2025,1,1
11423,2022,4,2
11423,2025,3,4
11423,2025,4,2
11426,2024,2,1
11426,2024,3,3
11426,2024,4,2
11427,2023,4,2
11427,2024,1,3
11427,2024,4,2
11427,2025,3,1
11427,2025,4,1
11428,2024,2,1
11428,2024,3,2
11428,2024,4,1
11429,2023,4,3
11429,2025,2,2
11432,2023,3,2
11432,2025,1,2
11432,2025,3,4
11432,2025,4,1
11433,2025,4,1
11434,2023,4,2
11434,2024,4,1
11434,2025,1,2
11435,2022,3,1
11435,2023,2,1
11435,2024,1,2
11435,2024,2,1
11435,2025,3,3
11501,2022,3,2
11501,2024,2,1
11501,2024,3,6
11501,2024,4,1
11501,2025,2,1
11501,2025,3,2
11507,2023,3,1
11507,2023,4,1
11509,2025,2,2
11510,2023,4,1
11510,2024,4,2
11510,2025,2,2
11516,2024,3,2
11516,2024,4,1
11516,2025,1,1
11516,2025,2,2
11516,2025,3,7
11516,2025,4,2
11518,2023,4,2
11518,2024,3,1
11518,2025,1,2
11520,2023,4,1
11520,2024,1,1
11520,2024,4,3
11520,2025,4,1
11530,2024,2,2
11530,2024,3,1
11530,2024,4,1
11530,2025,3,1
11530,2025,4,1
11542,2023,1,2
11542,2023,2,2
11542,2024,3,2
11542,2024,4,1
11542,2025,3,1
11542,2025,4,1
11545,2023,4,1
11545,2024,1,1
11545,2025,4,2
11550,2022,2,1
11550,2022,3,2
11550,2023,4,1
11550,2024,4,1
11552,2023,2,1
11552,2023,3,1
11552,2023,4,2
11552,2024,1,5
11552,2024,2,2
11552,2025,3,1
11552,2025,4,1
11554,2022,2,3
11554,2022,3,1
11554,2023,2,1
11554,2023,3,2
11554,2023,4,5
11554,2024,2,2
11554,2024,3,3
11554,2025,2,3
11557,2023,3,4
11557,2023,4,4
11557,2024,1,4
11557,2024,2,3
11557,2024,3,3
11557,2024,4,3
11557,2025,1,3
11557,2025,2,3
11557,2025,3,7
11557,2025,4,3
11558,2023,2,2
11558,2023,3,1
11559,2022,2,1
11559,2022,3,1
11559,2023,1,2
11559,2023,2,1
11559,2023,4,1
11559,2024,1,2
11559,2024,3,1
11559,2024,4,1
11560,2023,3,2
11560,2025,3,2
11561,2023,4,2
11563,2023,4,2
11563,2024,1,1
11563,2025,3,2
