zip_code,year,quarter,sewer_overflow_incidents
21229,2025,3,3
21229,2025,4,6
21229,2026,1,2
21230,2023,1,2
21230,2023,2,2
21230,2023,3,1
21230,2023,4,4
21230,2024,1,1
21230,2024,2,1
21230,2024,3,4
21230,2024,4,7
21230,2025,1,5
21230,2025,2,8
21230,2025,3,6
21230,2025,4,6
21230,2026,1,7
21231,2024,4,2
21231,2025,1,1
21231,2025,2,6
21231,2025,4,2
21231,2026,1,1
21234,2023,2,1
21234,2023,3,6
21234,2023,4,4
21234,2024,1,4
21234,2024,2,1
21234,2024,4,1
21234,2025,1,1
21234,2025,2,5
21234,2025,3,2
21234,2025,4,3
21234,2026,1,2
21236,2023,2,3
21236,2023,3,3
21236,2024,1,3
21236,2024,2,2
21236,2024,3,4
21236,2025,1,1
21236,2025,3,1
21236,2025,4,2
21237,2023,1,1
21237,2023,4,4
21237,2024,1,3
21237,2024,3,1
21237,2025,1,1
21237,2025,2,4
21239,2023,1,1
21239,2024,4,1
21239,2025,1,4
21239,2025,2,3
21239,2025,3,1
21239,2025,4,2
21239,2026,1,1
21240,2024,3,1
21240,2024,4,1
21240,2025,4,1
21244,2023,2,3
21244,2023,3,3
21244,2024,2,2
21244,2024,3,1
21244,2025,2,2
21244,2025,4,1
21251,2023,4,1
21251,2025,3,1
21266,2023,3,1
21286,2024,1,2
21286,2024,4,1
21286,2025,1,1
21286,2025,3,1
21286,2025,4,1
21293,2023,2,1
21401,2023,2,1
21401,2023,3,1
21401,2024,1,1
21401,2024,2,1
21401,2025,2,5
21401,2025,3,4
21401,2025,4,2
21401,2026,1,1
21402,2023,4,1
21403,2023,1,1
21403,2023,3,3
21403,2023,4,2
21403,2024,1,6
21403,2024,2,3
21403,2024,3,1
21403,2024,4,1
21403,2025,1,1
21403,2025,2,3
21406,2025,4,1
21409,2023,1,1
21409,2023,2,1
21409,2023,3,1
21409,2024,4,2
21409,2025,1,2
21409,2025,4,1
21409,2026,1,1
21411,2023,1,1
21501,2023,2,1
21501,2025,2,1
21501,2025,3,1
21502,2023,1,6
21502,2023,2,16
21502,2023,3,17
21502,2023,4,20
21502,2024,1,45
21502,2024,2,30
21502,2024,3,23
21502,2024,4,6
21502,2025,1,13
21502,2025,2,39
21502,2025,3,24
21502,2025,4,8
21502,2026,1,10
21504,2023,1,10
21504,2023,2,13
21504,2023,3,10
21504,2023,4,8
21504,2024,1,14
21504,2024,2,11
21504,2024,3,7
21504,2025,1,5
21504,2025,2,9
21504,2025,3,1
21504,2025,4,2
21504,2026,1,2
21520,2025,3,1
21520,2026,1,1
21523,2025,2,1
21524,2025,2,1
21530,2023,4,1
21530,2025,3,1
21532,2023,1,6
21532,2023,2,8
21532,2023,3,22
21532,2023,4,15
21532,2024,1,22
21532,2024,2,22
21532,2024,3,10
21532,2024,4,4
21532,2025,1,4
21532,2025,2,29
21532,2025,3,14
21532,2025,4,8
21532,2026,1,7
21536,2024,2,2
21536,2025,2,1
21541,2025,3,1
21550,2023,2,2
21550,2024,2,1
21550,2024,3,1
21550,2025,1,1
21550,2025,2,1
21550,2025,3,1
21550,2025,4,1
21556,2024,2,1
21556,2025,2,2
21557,2024,3,1
21562,2024,1,1
21562,2024,3,1
21562,2025,2,1
21601,2023,2,1
21601,2023,3,1
21601,2023,4,1
21601,2024,1,2
21601,2024,3,2
21610,2024,3,1
21613,2023,1,1
21613,2023,2,4
21613,2023,3,4
21613,2023,4,6
21613,2024,1,12
21613,2024,2,3
21613,2024,4,1
21613,2025,1,4
21613,2025,3,4
21613,2026,1,5
21617,2024,3,1
21619,2023,3,1
21620,2023,3,1
21620,2025,3,1
21629,2024,1,1
21632,2023,3,1
21632,2024,1,1
21632,2024,3,1
21632,2025,2,1
21639,2023,3,1
21639,2025,4,1
21640,2025,1,1
21655,2024,1,1
21661,2023,2,5
21661,2023,3,3
21661,2023,4,1
21661,2024,1,1
21661,2024,2,3
21661,2024,3,1
21661,2025,2,5
21661,2025,3,3
21663,2023,2,2
21663,2023,3,1
21663,2023,4,1
21663,2024,1,1
21663,2024,2,1
21663,2024,4,2
21663,2025,3,1
21663,2026,1,1
21666,2024,4,1
21671,2023,4,1
21677,2024,2,1
21677,2025,4,1
21678,2023,4,1
